#,Latitude,Longitude,Feed ID,Price,Capacity
s1,43.2674888,-89.4217271,p1,0,28625.85192
s2,43.2674888,-89.4217271,p1,0,45154.37501
s3,43.5602046,-88.4524125,p1,0,59795.84959
s4,43.5635398,-88.398095,p1,0,81985.51821
s5,43.667986,-88.862655,p1,0,40268.26727
s6,43.646505,-88.9087327,p1,0,32450.49488
s7,43.459701,-88.427915,p1,0,60789.91979
s8,42.80393,-88.686927,p1,0,41144.39693
s9,43.486086,-88.741235,p1,0,19190.60938
s10,42.973292,-88.775482,p1,0,41346.5807
s11,43.5125096,-88.7761133,p1,0,43368.41839
s12,42.9288944,-88.8370509,p1,0,25576.24674
s13,43.133923,-89.176236,p1,0,31928.18681
s14,43.219504,-89.484778,p1,0,25171.8792
s15,43.290199,-89.324268,p1,0,16831.79874
s16,43.1365465,-88.7221669,p1,0,29299.79781
s17,43.4117065,-88.3770079,p1,0,48271.37478
s18,43.1630453,-88.5742912,p1,0,37538.78639
s19,43.301296,-89.347421,p1,0,36713.20267
s20,43.1274563,-89.5536716,p1,0,65793.96807
s21,43.214887,-89.479006,p1,0,29114.46269
s22,43.131184,-89.543849,p1,0,31810.24628
s23,43.639276,-88.472845,p1,0,26991.53312
