#,Latitude,Longitude,prod,price,cap
s1,30.2303,-89.5584,p39,1100,2250
s2,34.6373,-87.0543,p39,1100,2250
s3,35.0339,-81.8606,p39,1100,2250
s4,33.8664,-81.0158,p39,1100,2250
s5,33.0572,-79.9453,p39,1100,2250
s6,35.7719,-79.8218,p39,1100,2250
s7,34.9837,-78.7906,p39,1100,2250
s8,43.4802,-89.9168,p41,0,3000
s9,43.1969,-89.3322,p41,0,3000
s10,43.1904,-88.7483,p41,0,3000
s11,43.192,-88.725,p41,0,3000
s12,42.9476,-88.3687,p41,0,3000
s13,43.004,-88.1144,p41,0,3000
s14,43.1792,-88.0581,p41,0,3000
s15,39.6041,-86.0656,p41,0,3000
s16,43.583,-85.4716,p41,0,3000
s17,43.5838,-85.4688,p41,0,3000
