#,Latitude,Longitude,tech
cd1,43.4802,-89.9168,t88
cd2,42.667,-89.6038,t88
cd3,43.0729,-89.4056,t88
cd4,43.1969,-89.3322,t88
cd5,43.4428,-89.3061,t88
cd6,43.0424,-88.7408,t88
cd7,43.4213,-88.67,t88
cd8,42.6442,-88.5687,t88
cd9,43.0266,-88.2745,t88
cd10,43.3492,-88.2199,t88
cd11,43.004,-88.1144,t88
cd12,43.1792,-88.0581,t88
cd13,43.3627,-87.9519,t88
cd14,43.0281,-87.944,t88
cd15,42.739,-87.9285,t88
cd16,43.583,-85.4716,t88
cd17,43.5838,-85.4688,t88
cd18,43.4802,-89.9168,t89
cd19,42.667,-89.6038,t89
cd20,43.0729,-89.4056,t89
cd21,43.1969,-89.3322,t89
cd22,43.4428,-89.3061,t89
cd23,43.0424,-88.7408,t89
cd24,43.4213,-88.67,t89
cd25,42.6442,-88.5687,t89
cd26,43.0266,-88.2745,t89
cd27,43.3492,-88.2199,t89
cd28,43.004,-88.1144,t89
cd29,43.1792,-88.0581,t89
cd30,43.3627,-87.9519,t89
cd31,43.0281,-87.944,t89
cd32,42.739,-87.9285,t89
cd33,43.583,-85.4716,t89
cd34,43.5838,-85.4688,t89
cd35,42.667,-89.6038,t90
cd36,43.0729,-89.4056,t90
cd37,43.4428,-89.3061,t90
cd38,43.0424,-88.7408,t90
cd39,43.4213,-88.67,t90
cd40,42.6442,-88.5687,t90
cd41,43.0266,-88.2745,t90
cd42,43.3492,-88.2199,t90
cd43,43.3627,-87.9519,t90
cd44,43.0281,-87.944,t90
cd45,42.739,-87.9285,t90
cd46,42.667,-89.6038,t91
cd47,43.0729,-89.4056,t91
cd48,43.4428,-89.3061,t91
cd49,43.045,-89.254,t91
cd50,42.676,-89.0604,t91
cd51,42.7046,-89.0218,t91
cd52,43.0424,-88.7408,t91
cd53,43.4213,-88.67,t91
cd54,43.465,-88.555,t91
cd55,43.3492,-88.2199,t91
cd56,42.851,-88.0745,t91
cd57,42.8495,-88.065,t91
cd58,42.5828,-88.0438,t91
cd59,43.3627,-87.9519,t91
cd60,42.739,-87.9285,t91
cd61,42.7074,-87.8703,t91
cd62,43.0729,-89.4056,t92
cd63,43.045,-89.254,t92
cd64,42.676,-89.0604,t92
cd65,42.7046,-89.0218,t92
cd66,43.0424,-88.7408,t92
cd67,43.465,-88.555,t92
cd68,43.3492,-88.2199,t92
cd69,42.851,-88.0745,t92
cd70,42.8495,-88.065,t92
cd71,42.5828,-88.0438,t92
cd72,42.5556,-87.9882,t92
cd73,43.3627,-87.9519,t92
cd74,42.739,-87.9285,t92
cd75,42.7074,-87.8703,t92
cd76,43.0729,-89.4056,t93
cd77,42.676,-89.0604,t93
cd78,43.0424,-88.7408,t93
cd79,43.3492,-88.2199,t93
cd80,42.5556,-87.9882,t93
cd81,43.3627,-87.9519,t93
cd82,42.739,-87.9285,t93
cd83,42.667,-89.6038,t94
cd84,43.0158,-89.4654,t94
cd85,43.0729,-89.4056,t94
cd86,43.4428,-89.3061,t94
cd87,43.0424,-88.7408,t94
cd88,43.4213,-88.67,t94
cd89,42.6442,-88.5687,t94
cd90,43.0266,-88.2745,t94
cd91,43.3492,-88.2199,t94
cd92,43.3627,-87.9519,t94
cd93,43.0281,-87.944,t94
cd94,42.739,-87.9285,t94
